,Name,TeamAbbreviation,GamesPlayed,Minutes,POINTS,REB,AST,STL,BLK,TrueStock,TrueStock_PerGame
210,Joel Embiid,PHI,39,1309,34.7,11.0,5.6,1.2,1.7,89.0,2.282051282051282
211,Jeff Green,HOU,78,1307,6.5,2.7,0.9,0.2,0.4,38.0,0.48717948717948717
212,Cameron Payne,PHI,78,1304,7.4,2.1,2.6,0.5,0.1,65.0,0.8333333333333334
213,Gary Harris,ORL,54,1297,6.9,2.2,1.6,0.9,0.3,67.0,1.2407407407407407
214,Dereck Lively II,DAL,55,1294,8.8,6.9,1.1,0.7,1.4,84.0,1.5272727272727273
215,T.J. McConnell,IND,71,1291,10.2,3.1,5.5,1.0,0.1,114.0,1.6056338028169015
216,Aaron Holiday,HOU,78,1269,6.6,2.1,1.8,0.5,0.1,60.0,0.7692307692307693
217,Cedi Osman,SAS,72,1269,6.8,2.9,1.7,0.5,0.2,61.0,0.8472222222222222
218,Gradey Dick,TOR,60,1268,8.5,2.8,1.1,0.6,0.0,44.0,0.7333333333333333
219,Naji Marshall,NOP,66,1257,7.1,3.7,2.0,0.8,0.2,58.0,0.8787878787878788
220,Kris Dunn,UTA,66,1249,5.5,3.1,3.9,1.0,0.4,83.0,1.2575757575757576
221,Gordon Hayward,OKC,51,1245,9.8,3.9,3.1,0.8,0.3,51.0,1.0
222,GG Jackson,MEM,48,1233,14.6,4.6,1.2,0.6,0.5,48.0,1.0
223,Aaron Wiggins,OKC,78,1228,6.9,2.8,1.1,0.7,0.2,72.0,0.9230769230769231
224,Larry Nance Jr.,NOP,61,1216,5.7,5.0,1.9,1.0,0.3,89.0,1.459016393442623
225,Duop Reath,POR,68,1214,9.1,3.9,1.0,0.5,0.6,71.0,1.0441176470588236
226,Alec Burks,NYK,66,1211,10.4,2.6,1.3,0.4,0.2,48.0,0.7272727272727273
227,Kevon Looney,GSW,74,1195,4.5,5.7,1.8,0.4,0.4,43.0,0.581081081081081
228,David Roddy,PHX,65,1177,6.6,4.0,1.3,0.4,0.2,37.0,0.5692307692307692
229,Vasilije Micic,CHA,60,1176,6.9,1.9,4.3,0.5,0.1,39.0,0.65
230,Patrick Williams,CHI,43,1174,10.0,4.2,1.5,0.9,0.8,58.0,1.3488372093023255
231,John Konchar,MEM,55,1173,4.3,5.2,2.0,0.9,0.9,91.0,1.6545454545454545
232,Joe Ingles,ORL,68,1169,4.4,2.4,3.0,0.6,0.1,48.0,0.7058823529411765
233,Drew Eubanks,PHX,75,1169,5.1,4.7,0.9,0.4,0.8,72.0,0.96
234,Anthony Black,ORL,69,1164,4.6,3.0,1.3,0.5,0.3,65.0,0.9420289855072463
235,Jordan Hawkins,NOP,67,1161,7.9,3.2,1.1,0.3,0.1,27.0,0.40298507462686567
236,Trey Lyles,SAC,58,1158,7.2,4.5,1.2,0.3,0.3,36.0,0.6206896551724138
237,Moses Moody,GSW,66,1156,8.1,3.3,0.9,0.6,0.4,72.0,1.0909090909090908
238,Jae Crowder,MIL,50,1156,6.2,3.4,1.3,0.8,0.2,48.0,0.96
239,Trayce Jackson-Davis,GSW,67,1130,7.9,5.8,1.2,0.4,1.1,80.0,1.1940298507462686
240,Malcolm Brogdon,POR,39,1121,15.7,3.9,5.5,0.7,0.2,37.0,0.9487179487179487
241,Dean Wade,CLE,54,1108,5.4,4.2,0.8,0.7,0.5,63.0,1.1666666666666667
242,Josh Richardson,MIA,43,1103,9.9,2.8,2.4,0.6,0.3,40.0,0.9302325581395349
243,Davion Mitchell,SAC,72,1101,5.3,2.0,1.9,0.2,0.0,36.0,0.5
244,Dario Saric,GSW,64,1098,8.1,4.8,2.3,0.5,0.2,44.0,0.6875
245,James Wiseman,DET,63,1091,6.9,5.3,0.8,0.2,0.6,38.0,0.6031746031746031
246,Dante Exum,DAL,55,1088,7.9,3.1,2.8,0.4,0.1,44.0,0.8
247,Sam Merrill,CLE,61,1069,8.0,2.7,1.8,0.3,0.1,40.0,0.6557377049180327
248,Shaedon Sharpe,POR,32,1059,15.9,5.0,2.9,0.9,0.4,43.0,1.34375
249,Dennis Smith Jr.,BKN,56,1059,6.6,3.4,3.7,1.2,0.2,79.0,1.4107142857142858
